title,company,skills,link
Data Analyst,Moody's Corporation,"** financial analysis , data analytics , research , financial terms , microsoft excel ** , reports , charts , verbal communication , accounting , mis , reporting , finance , financial statements",https://www.timesjobs.com/job-detail/financial-data-analyst-moody-s-corporation-1-to-2-yrs-jobid-__SLASH__sFpYp7bKANzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Phenom,"customer support , windows systems , problem solving , communication skills , teamwork , innovation , implementation , ideas , root cause analysis , technical operations , scheduling , action",https://www.timesjobs.com/job-detail/product-data-analyst-1-phenom-hyderabad-secunderabad-1-to-2-yrs-jobid-F4__SLASH__9CwEBRalzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,virtusa consulting services pvt. ltd.,"** reporting , automation , problem solving , collaboration , google suite ** , learning , job posting",https://www.timesjobs.com/job-detail/data-analyst-kpo-virtusa-consulting-services-pvt-ltd-5-to-8-yrs-jobid-3UwboVcSodRzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,virtusa consulting services pvt. ltd.,"** reporting automation , google suite , problem solving , data analysis , collaboration ** , learning , job posting",https://www.timesjobs.com/job-detail/data-analyst-kpo-virtusa-consulting-services-pvt-ltd-5-to-8-yrs-jobid-pTc9N82wnNtzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Zobello.com,"data mining , data analysis , data modeling",https://www.timesjobs.com/job-detail/data-analyst-associate-zobello-com-delhi-delhi-ncr-1-to-2-yrs-jobid-WL9IFB2aj3xzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,SEVEN CONSULTANCY,"strong analytical skills , collection , excel , reporting",https://www.timesjobs.com/job-detail/data-analyst-marketing-seven-consultancy-surat-8-to-11-yrs-jobid-j6ulA__SLASH__fT1ZhzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Analytics Vidhya,"problem solving , machine learning , database",https://www.timesjobs.com/job-detail/data-analyst-backend-engineer-analytics-vidhya-noida-greater-noida-delhi-delhi-ncr-2-to-6-yrs-jobid-TEqj31c7qwBzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Analytics Vidhya,"python , sas , data mining , ensemble , machine learning , sql , pl / sql",https://www.timesjobs.com/job-detail/sr-data-analyst-analytics-vidhya-bengaluru-bangalore-2-to-5-yrs-jobid-1yRnq885uehzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Analytics Vidhya,"c , python , c , sas , machine learning , java , big data",https://www.timesjobs.com/job-detail/senior-data-analyst-analytics-vidhya-chennai-2-to-5-yrs-jobid-nLJ2fsRgSNFzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Analytics Vidhya,"python , sas , data mining , ensemble , machine learning , sql , pl / sql",https://www.timesjobs.com/job-detail/lead-data-analyst-analytics-vidhya-bengaluru-bangalore-6-to-9-yrs-jobid-PKrdqg__PLUS__ImFtzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,PUBLICIS GROUPE,"hybris , bi , sql , salesforce , episerver , devops , magento , mobile , demandware , drupal , infrastructure",https://www.timesjobs.com/job-detail/lead-data-analyst-publicis-groupe-ahmedabad-gurgaon-mumbai-bengaluru-bangalore-6-to-9-yrs-jobid-PGapwQHLf7BzpSvf__PLUS__uAgZw==&source=srp
Data Analysts,pratibha analytics,"bi , hadoop , pl / sql , big data , sql",https://www.timesjobs.com/job-detail/senior-data-analysts-pratibha-analytics-hyderabad-secunderabad-1-to-6-yrs-jobid-Dl8A__SLASH__xd6uPhzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,ion trading india pvt. ltd.,"bi , big data , python , information retrieval , problem solving , team player , machine learning",https://www.timesjobs.com/job-detail/data-scientist-data-analyst-ion-trading-india-pvt-ltd-2-to-3-yrs-jobid-Es4frQQq5WNzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,SLA Consultants India,"process analyst , dashboards , ms access , vba , bi , business analyst , sql , advanced excel , data",https://www.timesjobs.com/job-detail/data-analyst-business-analyst-sla-consultants-india-noida-greater-noida-gurgaon-delhi-delhi-ncr-3-to-5-yrs-jobid-6DuRUIKmHKdzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Analytics Vidhya,"rdbms , oracle , sql , database",https://www.timesjobs.com/job-detail/data-analyst-sql-tableau-analytics-vidhya-bengaluru-bangalore-2-to-5-yrs-jobid-002Y1H8UEvBzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Analytics Vidhya,"python , sas , scala , sql , database , infrastructure",https://www.timesjobs.com/job-detail/senior-data-analyst-analytics-vidhya-chennai-4-to-7-yrs-jobid-__PLUS__kQJSi__SLASH__TgyRzpSvf__PLUS__uAgZw==&source=srp
Data Analysts,ace softex pvt. ltd.,"css , xml , html",https://www.timesjobs.com/job-detail/data-analysts-html-editor-ace-softex-pvt-ltd-rajkot-0-to-3-yrs-jobid-A__PLUS__IiWOuaLlNzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,AMAZON INDIA PVT LTD,"data analysis , customer focus , problem solving , analytics , strategic thinking , volume hiring , workforce",https://www.timesjobs.com/job-detail/wfs-data-analyst-amazon-india-pvt-ltd-bengaluru-bangalore-1-to-9-yrs-jobid-yTMOkCGpSZRzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,AMAZON INDIA PVT LTD,"data analysis , problem solving , business performance , excel proficiency , trend identification , catering",https://www.timesjobs.com/job-detail/data-analyst-in-easyship-amazon-india-pvt-ltd-bengaluru-bangalore-3-to-7-yrs-jobid-bIdgPjkSyiZzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,IQVIA,"data validation , business analysis , database management , data engineering , problem solving , software design , sql , ssrs , data structures , big data , business environment , application support , infrastructure",https://www.timesjobs.com/job-detail/data-analyst-tech-consulting-iqvia-1-to-5-yrs-jobid-__PLUS__R8__PLUS__25o9m99zpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Moody's Corporation,"credit methodologies , data analysis , financial interpretation , project management , stakeholder interaction , reports , charts , accounting , mis , reporting , verbal communication , excel , finance",https://www.timesjobs.com/job-detail/senior-financial-data-analyst-moody-s-corporation-bengaluru-bangalore-1-to-3-yrs-jobid-KX__PLUS__UQjQNx59zpSvf__PLUS__uAgZw==&source=srp
Data Analyst,IQVIA,"quality control , data analysis , communication , training , process improvement , decision making , processing",https://www.timesjobs.com/job-detail/global-data-analyst-1-iqvia-philippines-1-to-5-yrs-jobid-V6pMAsapXv1zpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Moody's Corporation,"credit methodologies , financial data analysis , stakeholder management , project management , microsoft excel , reports , charts , accounting , mis , reporting , verbal communication , finance",https://www.timesjobs.com/job-detail/senior-financial-data-analyst-moody-s-corporation-bengaluru-bangalore-1-to-3-yrs-jobid-hF3AtUDaD1hzpSvf__PLUS__uAgZw==&source=srp
